"";"IDU";"PMID";"study.name";"author_name";"type_Obsv_0_trial_1";"mono0_multi1";"published";"number_follow_up";"d_adm_dis";"rehosp_30_all.cause_all";"death_30_all";"rehosp_365";"death_365";"number_ttt";"all_gender_male";"TIME";"EF_all";"HF_all_n";"all_HT_n";"all_DM_n";"all_CAD.IHD_n";"all_COPD_n";"all_Afib_n";"all_ACE_ARB_adm_n";"all_ACE_ARB_adm_rate";"A_all_diuretic_n";"A_all_diuretic_rate";"A_all_digoxin_n";"A_all_digoxin_rate";"A_all_B_n";"A_all_B_rate";"SBP_all";"AGE_all";"HR_all";"all_gender_male_rate";"country1";"country2";"country3";"country4";"country5";"country6";"country7";"country8";"country9";"country10";"country11";"country12";"country13";"country14";"country15";"country16";"country17";"country18";"country19";"country20";"country21";"country22";"country23";"country24";"country25";"country26";"country27";"country28";"country29";"country30";"country31";"continent";"multicontinent"
"47";"26886619_Valbusa";26886619;"Nonalcoholic Fatty Liver Disease Is Associated With Higher 1-year All-Cause Rehospitalization Rates in Patients Admitted for Acute Heart Failure";"Valbusa";0;0;2016;107;"1";13;NA;41;NA;107;49;2014;50;NA;NA;46;40,02;20,01;54,96;NA;NA;NA;NA;NA;NA;NA;NA;131,642056074766;80,481308411215;81,9420560747664;0,457943925233645;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"48";"26359710_Lee";26359710;"Prognostic impact of preexisting hypertension and high systolic blood pressure at admission in patients hospitalized for systolic heart failure";"Lee";0;1;2015;3538;NA;NA;NA;NA;293;3538;1976;2006;29,9348219332956;NA;NA;1195,17;552,09;160,92;877,12;NA;NA;NA;NA;NA;NA;NA;NA;129,653250423968;67,3823063877897;92,542085924251;0,558507631430187;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"49";"10074960_Croft";10074960;"Heart Failure Survival Among Older Adults in the United States : a poor prognosis for an emerging epidemic in the Medicare population.";"Croft";0;1;1999;170239;"0";NA;NA;NA;55809;170239;71160;1986;NA;0;45530,11;27562,19;63567,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79,114241155082;NA;0,418000575661276;"Sweden";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"50";"11152851_Harjai";11152851;"Simple clinical variables are markers of the propensity for readmission in patients hospitalized with heart failure.";"Harjai";0;0;2001;434;"1";114;NA;NA;NA;434;239;1994;NA;NA;243,04;NA;173,6;78,12;151,9;NA;NA;NA;NA;NA;NA;NA;NA;138;70;NA;0,550691244239631;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"51";"11785996_Doughty";11785996;"Randomized, controlled trial of integrated heart failure management: The Auckland Heart Failure Management Study.";"Doughty";1;0;2003;197;"1";NA;NA;123;43;197;119;1996;32,1756345177665;100,59;100,32;56,25;88,56;NA;63,1;NA;NA;NA;NA;NA;NA;NA;NA;124,929441624365;72,992385786802;79,7675126903553;0,604060913705584;"Czech.Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"52";"11911755_Young";11911755;"Intravenous nesiritide vs nitroglycerin for treatment of decompensated congestive heart failure: a randomized controlled trial.";"Young";1;1;2002;489;"0";105;NA;NA;NA;489;339;2000;NA;NA;388,14;231,62;256,25;NA;169,52;NA;NA;NA;NA;NA;NA;NA;NA;121,460122699387;61,4151329243354;NA;0,693251533742331;"Italy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"53";"12034162_Azevedo";12034162;"Effect of a heart failure clinic on survival and hospital readmission in patients discharged from acute hospital care.";"Azevedo";0;0;2002;339;"1";NA;NA;NA;102;339;177;1996;NA;NA;NA;63;155,99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;131,190560471976;66,9914454277286;87,7498525073746;0,52212389380531;"Argentina";"Australia";"Brazil";"Chile";"Colombia";"Finland";"France";"Germany";"Greece";"India";"Israel";"Italy";"Lithuania";"Mexico";"Netherlands";"New.Zealand";"Norway";"Poland";"South.Korea";"Sweden";"Thailand";"UK";"USA";NA;NA;NA;NA;NA;NA;NA;NA;"South_America";"Yes"
"54";"15086645_Naylor";15086645;"Transitional care of older adults hospitalized with heart Failure: a randomized, controlled trial";"Naylor";1;1;2004;239;"1";NA;NA;120;24;239;103;1999;NA;NA;125,67;89,64;116,99;NA;83,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;0,430962343096234;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"55";"15302008_Cotter";15302008;"The hemodynamic and neurohormonal effects of low doses of tezosentan (an endothelin A/B receptor antagonist) in patients with acute heart failure.";"Cotter";1;0;2004;129;"0";NA;5;NA;NA;129;86;2002;28,1170542635659;NA;NA;NA;78,04;NA;NA;62,1;0,481395348837209;57,97;0,44937984496124;NA;NA;38;0,294573643410853;132,464341085271;69,5441860465116;77,1821705426357;0,666666666666667;"Germany";"Greece";"Italy";"New.Zealand";"Poland";"Switzerland";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"Yes"
"56";"15302014_Atienza";15302014;"Multicenter randomized trial of a comprehensive hospital discharge and outpatient heart failure management program";"Atienza";1;1;2004;338;"1";NA;NA;133;65;338;205;1999;NA;NA;180,78;123,52;108,06;NA;150,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;67,9704142011834;NA;0,606508875739645;"Switzerland";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"57";"15302017_Sosin";15302017;"An 8-year follow-up study of acute admissions with heart failure in a multiethnic population.";"Sosin";0;0;2004;214;"0";NA;NA;NA;105;214;109;1994;NA;NA;NA;43,06;115,03;NA;64,95;108,98;0,509252336448598;NA;NA;NA;NA;6,85;0,0320093457943925;NA;74,4953271028037;NA;0,509345794392523;"Turkey";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"58";"15492340_DeBusk";15492340;"Care management for low-risk patients with heart failure: a randomized, controlled trial";"DeBusk";1;1;2004;462;NA;NA;NA;233;51;462;235;2000;NA;270,73;302,15;153,85;235,62;79,93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72;NA;0,508658008658009;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"59";"15820161_Sheppard";15820161;"Effect of gender on treatment, resource utilization, and outcomes in congestive heart failure in Quebec, Canada.";"Sheppard";0;0;2005;32639;"1";NA;NA;5257;NA;32639;15993;2000;NA;NA;NA;10764,82;7162,43;10254,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75,5463402677778;NA;0,489996629798707;"Italy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"60";"15921809_Rudiger";15921809;"Acute heart failure: clinical presentation, one-year mortality and prognostic factors.";"Rudiger";0;1;2005;312;"0";NA;34;NA;90;312;176;2002;NA;NA;167,86;100,15;NA;NA;91,1;NA;NA;NA;NA;NA;NA;NA;NA;140;73;90;0,564102564102564;"China";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"61";"15948086_Dunagan";15948086;"Randomized trial of a nurse-administered, telephone-based disease management program for patients with heart failure.";"Dunagan";1;0;2005;151;"1";NA;NA;105;24;151;66;1999;NA;NA;NA;NA;NA;NA;NA;107,25;0,710264900662252;NA;NA;NA;NA;NA;NA;NA;69,953642384106;NA;0,437086092715232;"Canada";"Croatia";"Germany";"Hungary";"Israel";"Italy";"Lithuania";"Poland";"Russia";"Serbia";"Slovenia";"Spain";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";"Yes"
"62";"16183441_Peacock";16183441;"Observation unit treatment of heart failure with nesiritide: results from the proaction trial.";"Peacock";1;1;2005;237;"0";39;7;NA;NA;237;142;2002;NA;NA;NA;NA;NA;NA;NA;136,26;0,574936708860759;183,78;0,775443037974684;97,38;0,410886075949367;110,16;0,464810126582278;NA;65,5063291139241;NA;0,59915611814346;"Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"63";"16204662_Binanay";16204662;"Evaluation study of congestive heart failure and pulmonary artery catheterization effectiveness: the ESCAPE trial.";"Binanay";1;1;2005;433;"0";NA;21;NA;NA;433;320;2002;19,5034642032333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;56;82,4965357967668;0,739030023094688;"Czech.Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"64";"16216863_Grigorian_Shamagian";16216863;"Anaemia is associated with higher mortality among patients with heart failure with preserved systolic function.";"Grigorian_Shamagian";0;0;2005;205;NA;NA;NA;NA;36;210;101;2001;NA;NA;144,06;44,1;NA;NA;77,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;73,2;NA;0,480952380952381;"Argentina";"France";"Germany";"Greece";"Israel";"Italy";"Netherlands";"Poland";"Romania";"Spain";"Switzerland";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"South_America";"Yes"
"65";"16246989_Kosiborod";16246989;"Anemia and outcomes in patients with heart failure: a study from the National Heart Care Project.";"Kosiborod";0;1;2005;50405;"0";NA;NA;NA;18297;50405;20686;2000;NA;NA;33146,33;20847,51;15035,81;17107,46;15282,8;21548,14;0,427500049598254;37319,86;0,740399960321397;20454,35;0,405800019839302;14763,62;0,292899910723143;147,4;79,4;89,9;0,410395794068049;"Italy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"66";"16516552_Zannad";16516552;"Clinical profile, contemporary management and one-year mortality in patients with severe acute heart failure syndromes: The EFICA study.";"Zannad";0;1;2006;581;NA;NA;159;NA;270;581;343;2001;38;203,35;348,6;156,87;267,26;NA;145,25;244,02;0,42;302,12;0,52;110,39;0,19;151,06;0,26;126;73;NA;0,590361445783133;"Argentina";"Belgium";"Brazil";"Canada";"Czech.Republic";"France";"Germany";"Hungary";"India";"Israel";"Italy";"Philippines";"Poland";"Romania";"Russia";"Singapore";"Slovakia";"Spain";"Sweden";"Taiwan";"Turkey";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;"South_America";"Yes"
"67";"16618450_Formiga";16618450;"Anemia in new-onset congestive heart failure inpatients admitted for acute decompensation.";"Formiga";0;0;2006;103;"0";NA;NA;NA;24;103;48;2002;NA;0;NA;31,93;NA;NA;35,02;NA;NA;NA;NA;NA;NA;NA;NA;158;78,5;96;0,466019417475728;"Austria";"Denmark";"France";"Germany";"Greece";"Italy";"Netherlands";"Norway";"Poland";"Romania";"Spain";"Sweden";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"No"
"68";"16624834_Cowie";16624834;"Prevalence and impact of worsening renal function in patients hospitalized with decompensated heart failure; results of the prospective outcomes study in heart failure (POSH)";"Cowie";0;1;2006;299;"0";59;23;NA;NA;299;220;2002;27,7;299;139,04;98,07;153,09;NA;121,1;NA;NA;NA;NA;NA;NA;186,47;0,623645484949833;NA;68;NA;0,735785953177257;"Turkey";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"69";"16863484_Arnold";16863484;"Outcomes associated with vasoactive therapy in patients with acute decompensated heart failure.";"Arnold";0;1;2006;2130;"1";122;NA;NA;NA;2130;1385;2002;NA;2130;844,58;679,72;1139,42;NA;668,02;1359,69;0,638352112676056;2039,88;0,95769014084507;1204,84;0,565652582159624;1154,62;0,542075117370892;NA;63,1442723004695;NA;0,650234741784038;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"70";"17074775_Mitrovic";17074775;"Haemodynamic and clinical effects of ularitide in decompensated heart failure";"Mitrovic";1;1;2006;221;"0";NA;12;NA;NA;221;173;2004;NA;221;NA;79,01;NA;NA;NA;181,02;0,819095022624434;208;0,941176470588235;132,99;0,601764705882353;161,04;0,72868778280543;125,576470588235;60,4420814479638;77,1348416289593;0,782805429864253;"Italy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"71";"17127708_Siirila_Waris";17127708;"Characteristics outcomes and predictors of 1-year mortality in patients hospitalized for acute heart failure.";"Siirila_Waris";0;1;2006;620;"0";NA;NA;NA;171;620;312;2004;NA;316,2;339,14;200,26;342,24;78,12;167,4;NA;NA;NA;NA;NA;NA;392,45;0,632983870967742;147;75,1;NA;0,503225806451613;"Greece";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"72";"17384437_Konstam";17384437;"Effects of Oral Tolvaptan in Patients Hospitalized for Worsening Heart Failure";"Konstam";1;1;2007;4133;"0";NA;NA;NA;1054;4133;3075;2004;27,5;3250,66;2932,35;1599,6;NA;NA;1793,74;3480;0,842003387369949;4002,84;0,968507137672393;NA;NA;2901,37;0,702000967819985;120,500798451488;65,750399225744;NA;0,744011613839826;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"73";"17449141_Auble";17449141;"Comparison of four clinical prediction rules for estimating risk in heart failure.";"Auble";0;1;2007;33533;"0";NA;2649;NA;NA;33533;14755;1999;NA;21125,79;NA;13413,2;20455,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;148;75;90;0,440014314257597;"China";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"74";"17664189_Berry";17664189;"Nature and prognostic importance of abnormal glucose tolerance and diabetes in acute heartfailure.";"Berry";0;0;2008;454;"0";NA;NA;NA;133;454;222;2000;NA;NA;NA;NA;167,98;49,94;136,2;322,34;0,71;390,44;0,86;95,34;0,21;149,82;0,33;NA;72;NA;0,488986784140969;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"75";"17936154_Givertz";17936154;"The effects of KW-3902, an adenosine A1-receptor antagonist,on diuresis and renal function in patients with acute decompensated heart failure and renal impairment or diuretic resistance";"Givertz";1;1;2007;146;"0";NA;10;NA;NA;146;100;2002;31,7328767123288;NA;NA;NA;74,78;NA;NA;124,05;0,849657534246575;NA;NA;47,66;0,326438356164384;121,24;0,83041095890411;123,86301369863;66,6232876712329;78,1780821917808;0,684931506849315;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"76";"17986694_McMurray";17986694;"Effects of tezosentan on symptoms and clinical outcomes in patients with acute heart failure: the VERITAS randomized controlled trials.";"McMurray";1;1;2007;1435;"0";NA;62;NA;NA;1435;861;2004;29;1045,06;1152,9;685,1;1013,53;NA;527,21;764,25;0,532578397212544;420,31;0,292898954703833;319,09;0,222362369337979;671,05;0,467630662020906;132;70;82,2278745644599;0,6;"Canada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"77";"18156618_Tribouilloy";18156618;"Prognosis of heart failure with preserved ejection fraction: a 5 year prospective population-based study.";"Tribouilloy";0;1;2008;662;NA;NA;NA;NA;157;662;355;2000;50,5649546827795;0;411,97;171,02;84,72;135,93;222,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;NA;0,536253776435045;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"78";"18280788_Ezekowitz_(a)";18280788;"Acute heart failure in the emergency department: short and long-term outcomes of elderly patients with heart failure.";"Ezekowitz_(a)";0;1;2008;3627;"0";689;120;2104;725;3627;1828;2000;NA;747,16;1341,99;819,7;979,29;NA;188,6;2897,97;0,798999172870141;3119,22;0,86;1530,59;0,421998897160187;1828,01;0,504000551419906;NA;79,1;NA;0,503997794320375;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"79";"18280788_Ezekowitz_(b)";18280788;"Acute heart failure in the emergency department: short and long-term outcomes of elderly patients with heart failure.";"Ezekowitz_(b)";0;1;2008;6788;"0";1425;740;4073;2315;6788;3272;2000;NA;1568,03;2497,98;1676,64;2111,07;NA;1819,18;5294,64;0,78;5511,86;0,812000589275191;3013,87;0,443999705362404;3332,91;0,491000294637596;NA;79,7;NA;0,48202710665881;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"80";"18304693_Miller";18304693;"Acutely Decompensated Heart Failure in a County Emergency Department: A Double-Blind Randomized Controlled Comparison of Nesiritide Versus Placebo Treatment";"Miller";1;0;2008;101;"0";41;5;NA;NA;101;67;2004;NA;NA;86,9;49,55;NA;12,13;9,16;NA;NA;NA;NA;NA;NA;NA;NA;149,429702970297;55,7049504950495;91,5871287128713;0,663366336633663;"Bahrain";"Egypt";"Kuwait";"Oman";"Qatar";"Saudi.Arabia";"United.Arab.Emirates";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";"Yes"
"81";"18534276_Gheorghiade";18534276;"Hemodynamic, echocardiographic, and neurohormonal effects of istaroxime, a novel intravenous inotropic and lusitropic agent: a randomized controlled trial in patients hospitalized with heart failure.";"Gheorghiade";1;1;2008;120;"0";NA;2;NA;NA;120;105;2006;27;NA;NA;20,85;77,19;NA;NA;110,24;0,918666666666667;107,71;0,897583333333333;9,03;0,07525;117,9;0,9825;116;55;73;0,875;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"82";"18614781_Gray";18614781;"Noninvasive Ventilation in Acute Cardiogenic Pulmonary Edema";"Gray";1;1;2008;1069;"0";NA;167;NA;NA;1069;461;2005;NA;477,79;592,58;331,38;669,92;196,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;161,323666978485;77,7;113,010289990645;0,431244153414406;"Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"83";"19233107_Assyag_(a)";19233107;"RESICARD: East Paris network for the management of heart failure: Absence of effect on mortality and rehospitalization in patients with severe heart failure admitted following severe decompensation";"Assyag_(a)";1;1;2009;211;"1";NA;NA;107;46;211;120;2002;NA;42,83;NA;NA;NA;NA;NA;89,89;0,426018957345972;113,94;0,54;NA;NA;55,07;0,260995260663507;NA;73,8;NA;0,568720379146919;"Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"84";"19233107_Assyag_(b)";19233107;"RESICARD: East Paris network for the management of heart failure: Absence of effect on mortality and rehospitalization in patients with severe heart failure admitted following severe decompensation";"Assyag_(b)";1;1;2009;218;"1";NA;NA;119;41;218;130;2002;NA;33,14;NA;NA;NA;NA;NA;110,09;0,505;126;0,577981651376147;NA;NA;78,04;0,357981651376147;NA;72,1;NA;0,596330275229358;"Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"85";"19398077_Konishi";19398077;"Clinical Characteristics of Acute Decompensated Heart Failure With Rapid Onset of Symptoms";"Konishi";0;0;2009;130;"1";NA;NA;27;7;130;77;2006;41,4;52,26;94,64;41,86;42,9;NA;29,9;30,94;0,238;69,94;0,538;14,56;0,112;33,8;0,26;150,4;72,6;96,6;0,592307692307692;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"86";"19522957_Styron";19522957;"Outcomes associated with nesiritide administration for acute decompensated heart failure in the emergency department observation unit: a single center experience";"Styron";0;0;2009;595;"0";84;14;NA;NA;595;313;2003;NA;436,93;457,04;260,12;294,65;77,28;146,09;NA;NA;NA;NA;NA;NA;NA;NA;144,730588235294;69,5352941176471;82,9035294117647;0,526050420168067;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"87";"19536386_Richter";19536386;"Practice patterns and outcomes in patients presenting to the emergency department with acute heart failure";"Richter";0;1;2009;448;"0";89;14;NA;NA;448;246;2002;NA;282,24;246,4;152,32;174,72;125,44;125,44;313,6;0,7;259,84;0,58;107,52;0,24;165,76;0,37;NA;75,3;NA;0,549107142857143;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"88";"19627289_Zareba";19627289;"Comparison of Acute Electrocardiographic Presentation in Patients With Diastolic vs Systolic Heart Failure";"Zareba";0;0;2009;241;"0";48;27;NA;NA;241;146;2005;36,9053941908714;NA;NA;NA;108,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;137,651452282158;68,8829875518672;NA;0,605809128630705;"Italy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"89";"19808351_Singer";19808351;"Rapid Emergency Department Heart Failure Outpatients
Trial (REDHOT II)";"Singer";1;1;2009;472;"0";103;22;NA;NA;472;239;2005;NA;NA;NA;NA;NA;NA;NA;312,22;0,661483050847458;432,94;0,917245762711864;NA;NA;341,17;0,722817796610169;148,050847457627;64,428813559322;88;0,50635593220339;"Germany";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"90";"20071655_Teng_(a)";20071655;"Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.";"Teng_(a)";0;1;2010;5189;"0";NA;607;NA;1583;5189;2626;1992;NA;NA;1696,8;959,96;1738,32;1193,47;944,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;0,506070533821546;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"91";"20071655_Teng_(b)";20071655;"Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.";"Teng_(b)";0;1;2010;4716;"0";NA;429;NA;1302;4716;2419;1996;NA;NA;2159,93;1079,96;1678,9;1344,06;1278,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;0,512934690415606;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"92";"20071655_Teng_(c)";20071655;"Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.";"Teng_(c)";0;1;2010;4625;"0";NA;407;NA;1175;4625;2354;2000;NA;NA;2294;1197,88;1470,75;1276,5;1424,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;0,508972972972973;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"93";"20071655_Teng_(d)";20071655;"Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.";"Teng_(d)";0;1;2010;4812;"0";NA;395;NA;1112;4812;2531;2004;NA;NA;2329,01;1294,43;1390,67;1140,44;1640,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;0,52597672485453;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
